iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
LSO,Lesotho,2011,1.37,21.27472527472527,80.10148604566872,0.0,-0.005744777804860712,1
LSO,Lesotho,2021,1.369,55.89123867069488,77.51937984496124,0.0,-0.03560754579709402,1
LUX,Luxembourg,1990,30.938,1.9077901430842648,53.366076721144886,5.072402404945379,-0.019683386602957764,1
LUX,Luxembourg,1991,32.109,5.174019815395048,48.429951690821255,4.589371980676333,-0.021669949204103034,1
LUX,Luxembourg,1992,31.098,-1.8599033816425137,45.45081630978751,4.783001066535405,-0.020475251792448024,1
LUX,Luxembourg,1993,31.062,1.2224136516531203,46.49051710163722,4.020100502512548,-0.016463779492361552,1
LUX,Luxembourg,1994,28.624,-6.597503647268599,42.03401596667824,4.807358556056926,-0.012571214954781751,1
MNE,Montenegro,2008,4.116,26.702334630350187,58.042226487524,0.0,-0.014249223102978492,1
MNG,Mongolia,1990,4.523,1.9077901430842648,74.61954856500867,1.3175365131243095,-0.003263154939426749,1
MNG,Mongolia,1991,5.429,22.152997650903902,85.04180602006687,0.7107023411371358,-0.05335212358170094,1
MNG,Mongolia,1992,4.887,-8.503344481605357,84.01717993237688,0.4477748332267026,-0.030682240221718393,1
MNG,Mongolia,1993,4.044,-15.991958329525724,82.5845752202763,0.2828238877406619,-0.04040724594984757,1
MNG,Mongolia,1994,3.411,-14.44577395844664,86.45899554990464,0.406865861411319,-0.024319037857450043,1
MNG,Mongolia,2011,7.784,55.155387743247154,85.20217147135905,0.7347435417446491,-0.05076879549395885,1
MNG,Mongolia,2012,12.519,63.77761138150508,89.70739513087209,0.4829123328380547,-0.07918654448408002,1
MNG,Mongolia,2013,15.245,24.237055663504403,91.51984911909472,0.2553015318091951,-0.0534718578009209,1
MNG,Mongolia,2014,10.171,-31.85059110354662,87.79615254809315,0.701991225109694,-0.0017869369474524666,1
MNG,Mongolia,2016,8.428,10.094935349456602,87.9199344492567,0.8115806313160903,-0.02197663748405121,1
MNG,Mongolia,2017,10.997,33.20457294471106,88.0927970942324,0.8963355692902581,-0.03726532921773451,1
MNG,Mongolia,2018,14.307,32.74846949236942,90.3484189854145,0.9201438690174228,-0.046894542775617554,1
MNG,Mongolia,2019,14.578,3.971844038924055,88.36774974001995,1.0335533436617936,-0.029224320712234353,1
MNG,Mongolia,2020,12.908,-9.849529913622955,87.08507933518527,1.235933895192801,-0.03344111609001499,1
MNG,Mongolia,2021,10.771,-15.31616366118932,85.04948293116868,1.5956855331924942,-0.0003764697940423778,1
MNG,Mongolia,2022,11.944,12.429111531190904,85.77751403209456,1.4885146997008007,-0.0008887243797566224,1
MNG,Mongolia,2023,12.874,9.25005563385506,87.03603114249503,1.3647474198804872,-0.07188801995859806,1
MNG,Mongolia,2024,12.86,1.1542639869636109,86.6581644068555,1.349174385823602,-0.057142760873031495,1
NCL,New Caledonia,2016,19.341,12.40516711092885,48.04815760671288,0.7843852608536963,-0.02209938958390434,1
