iso_code,country,year,metric,value,z_score,mean,std
TLS,East Timor,2012,renewables_share,50.76142131979696,5.687763574189271,5.877976651759054,7.891228965935975
ARE,United Arab Emirates,2013,co2_per_capita,27.348,3.417308850830196,5.113863849765259,6.506329138155953
BHR,Bahrain,2013,co2_per_capita,24.839,3.0316843386477226,5.113863849765259,6.506329138155953
CUW,Curacao,2013,co2_per_capita,36.366,4.803343865123358,5.113863849765259,6.506329138155953
QAT,Qatar,2013,co2_per_capita,44.982,6.127592887428733,5.113863849765259,6.506329138155953
TTO,Trinidad and Tobago,2013,co2_per_capita,32.421,4.197011182556655,5.113863849765259,6.506329138155953
COG,Congo,2013,renewables_share,47.21561969439728,5.267685187895923,6.071255475676887,7.810710540041732
GAB,Gabon,2013,renewables_share,50.809248554913296,5.727775066030981,6.071255475676887,7.810710540041732
TLS,East Timor,2013,renewables_share,43.064516129032256,4.736222199466852,6.071255475676887,7.810710540041732
ARE,United Arab Emirates,2014,co2_per_capita,26.045,3.2638926592326136,5.050164319248826,6.432452863105906
CUW,Curacao,2014,co2_per_capita,41.182,5.61711627736747,5.050164319248826,6.432452863105906
QAT,Qatar,2014,co2_per_capita,41.31,5.637015373827882,5.050164319248826,6.432452863105906
TTO,Trinidad and Tobago,2014,co2_per_capita,32.978,4.3417085636079165,5.050164319248826,6.432452863105906
AGO,Angola,2014,renewables_share,32.71500843170321,3.5336121587596754,6.095142783358889,7.533329763526764
COG,Congo,2014,renewables_share,46.5180040212027,5.365869078711305,6.095142783358889,7.533329763526764
GAB,Gabon,2014,renewables_share,50.30902348578493,5.869101989467019,6.095142783358889,7.533329763526764
TGO,Togo,2014,renewables_share,29.24211938296446,3.0726089692334413,6.095142783358889,7.533329763526764
TLS,East Timor,2014,renewables_share,29.82456140350878,3.1499243183323564,6.095142783358889,7.533329763526764
ARE,United Arab Emirates,2015,co2_per_capita,25.943,3.2905577230540555,5.000347417840376,6.3644689881696355
CUW,Curacao,2015,co2_per_capita,44.002,6.128029322580792,5.000347417840376,6.3644689881696355
KWT,Kuwait,2015,co2_per_capita,24.337,3.0382193106923556,5.000347417840376,6.3644689881696355
QAT,Qatar,2015,co2_per_capita,38.441,5.254272217261108,5.000347417840376,6.3644689881696355
TTO,Trinidad and Tobago,2015,co2_per_capita,31.86,4.220250366854914,5.000347417840376,6.3644689881696355
AGO,Angola,2015,renewables_share,35.98618433012177,3.732532034411032,6.137824302164202,7.9968128211034735
COG,Congo,2015,renewables_share,44.03051268405179,4.738473843215304,6.137824302164202,7.9968128211034735
GAB,Gabon,2015,renewables_share,52.130977130977136,5.751435460317099,6.137824302164202,7.9968128211034735
TGO,Togo,2015,renewables_share,45.27252502780867,4.8937872626415055,6.137824302164202,7.9968128211034735
ARE,United Arab Emirates,2016,co2_per_capita,25.235,3.3828257448498884,4.933859154929578,6.001237538166861
CUW,Curacao,2016,co2_per_capita,36.97,5.338255758304175,4.933859154929578,6.001237538166861
KWT,Kuwait,2016,co2_per_capita,25.979,3.5068001743351878,4.933859154929578,6.001237538166861
QAT,Qatar,2016,co2_per_capita,35.154,5.03565150568952,4.933859154929578,6.001237538166861
TTO,Trinidad and Tobago,2016,co2_per_capita,27.743,3.800739547469688,4.933859154929578,6.001237538166861
AGO,Angola,2016,renewables_share,38.47875598837666,4.154320543587408,6.0029486122973434,7.817357143085369
BTN,Bhutan,2016,renewables_share,29.935897435897445,3.061514062302928,6.0029486122973434,7.817357143085369
COG,Congo,2016,renewables_share,43.23380478435481,4.76258862050188,6.0029486122973434,7.817357143085369
GAB,Gabon,2016,renewables_share,52.41403883841083,5.936928475522595,6.0029486122973434,7.817357143085369
TGO,Togo,2016,renewables_share,35.7610117749673,3.8066654264340016,6.0029486122973434,7.817357143085369
